13,01/22/2020,Hong Kong, Hong Kong,1/22/2020 17:00,0.0,0.0,0.0
14,01/22/2020,Hubei,Mainland China,1/22/2020 17:00,444.0,17.0,28.0
15,01/22/2020,Hunan,Mainland China,1/22/2020 17:00,4.0,0.0,0.0
16,01/22/2020,Inner Mongolia, Mainland China,1/22/2020 17:00,0.0,0.0,0.0
17,01/22/2020,Jiangsu,Mainland China,1/22/2020 17:00,1.0,0.0,0.0
18,01/22/2020,Jiangxi,Mainland China,1/22/2020 17:00,2.0,0.0,0.0
19,01/22/2020,Jilin,Mainland China,1/22/2020 17:00,0.0,0.0,0.0
20,01/22/2020,Liaoning,Mainland China,1/22/2020 17:00,2.0,0.0,0.0
21,01/22/2020,Macau,Macau,1/22/2020 17:00,1.0,0.0,0.0
22,01/22/2020,Ningxia,Mainland China,1/22/2020 17:00,1.0,0.0,0.0
23,01/22/2020,Qinghai,Mainland China,1/22/2020 17:00,0.0,0.0,0.0
24,01/22/2020,Shaanxi,Mainland China,1/22/2020 17:00,0.0,0.0,0.0
25,01/22/2020,Shandong,Mainland China,1/22/2020 17:00,2.0,0.0,0.0
26,01/22/2020,Shanghai,Mainland China,1/22/2020 17:00,9.0,0.0,0.0
27,01/22/2020,Shanxi,Mainland China,1/22/2020 17:00,1.0,0.0,0.0
28,01/22/2020,Sichuan,Mainland China,1/22/2020 17:00,5.0,0.0,0.0
29,01/22/2020,Taiwan,Taiwan,1/22/2020 17:00,1.0,0.0,0.0
30,01/22/2020,Tianjin,Mainland China,1/22/2020 17:00,4.0,0.0,0.0
31,01/22/2020,Tibet,Mainland China,1/22/2020 17:00,0.0,0.0,0.0
32,01/22/2020,Washington,US,1/22/2020 17:00,1.0,0.0,0.0
33,01/22/2020,Xinjiang,Mainland China,1/22/2020 17:00,0.0,0.0,0.0
34,01/22/2020,Yunnan,Mainland China,1/22/2020 17:00,1.0,0.0,0.0
35,01/22/2020,Zhejiang,Mainland China,1/22/2020 17:00,10.0,0.0,0.0
36,01/22/2020,Tibet,Japan,1/22/2020 17:00,2.0,0.0,0.0
37,01/22/2020,Hunan,Thailand,1/22/2020 17:00,4.0,0.0,2.0
38,01/22/2020,Shaanxi,South Korea,1/22/2020 17:00,1.0,0.0,0.0
39,01/22/2020,Unknown,China,1/22/2020 17:00,0.0,0.0,0.0
40,01/22/2020,Taiwan,Kiribati,1/22/2020 17:00,0.0,0.0,0.0
41,01/23/2020,Anhui,Mainland China,1/23/20 17:00,9.0,0.0,0.0
42,01/23/2020,Beijing,Mainland China,1/23/20 17:00,22.0,0.0,0.0
